Postal Code, Amenity Count, Shop Count, Tourism Count
6224DC, 0, 0, 1
6224DB, 1, 0, 1
6224DD, 1, 0, 0
6228LC, 1, 0, 0
6228LB, 1, 0, 0
6224DA, 1, 0, 1
6228LE, 1, 0, 0
6228LD, 1, 0, 0
6228LA, 1, 0, 0
6224CV, 0, 0, 0
6224CW, 0, 0, 0
6224CR, 0, 0, 0
6224CT, 0, 0, 0
6224CS, 0, 0, 0
6224CM, 0, 0, 0
6224CP, 9, 0, 0
6224CE, 0, 0, 0
6224CG, 0, 0, 0
6224CB, 0, 0, 0
6224CA, 0, 0, 0
6224CD, 0, 0, 0
6224CC, 0, 0, 0
6219PE, 1, 0, 3
6228KB, 0, 0, 0
6228KA, 0, 0, 0
6228KD, 0, 0, 0
6228KC, 0, 0, 0
6224BX, 0, 0, 0
6224BZ, 0, 0, 0
6224BT, 0, 0, 0
6224BW, 0, 0, 0
6224BP, 0, 0, 0
6224BS, 0, 0, 0
6224BR, 0, 0, 0
6228JV, 1, 0, 0
6224BM, 2, 0, 0
6224BL, 1, 0, 0
6228JP, 0, 0, 0
6228JS, 0, 0, 0
6228JR, 0, 0, 0
6228JM, 0, 0, 0
6215GK, 2, 0, 0
6224BH, 0, 0, 0
6224BK, 0, 0, 0
6224BJ, 0, 0, 0
6228JN, 0, 0, 0
6215GH, 1, 0, 0
6224BE, 0, 0, 0
6215GG, 1, 0, 0
6224BD, 0, 1, 0
6215GJ, 2, 0, 0
6224BG, 0, 1, 0
6228JK, 0, 0, 0
6215GD, 5, 0, 0
6224BA, 0, 0, 0
6228JE, 0, 0, 0
6215GC, 1, 0, 0
6228JD, 0, 0, 0
6224BC, 0, 0, 0
6228JG, 0, 0, 0
6215GE, 1, 0, 0
6224BB, 0, 0, 0
6228JA, 0, 0, 0
6215GB, 2, 0, 0
6228JC, 0, 0, 0
6215GA, 1, 0, 0
6228JB, 0, 0, 0
6224AX, 0, 0, 0
6224AW, 0, 0, 0
6224AZ, 0, 1, 0
6224AT, 0, 0, 0
6224AS, 0, 0, 0
6224AV, 0, 0, 0
6219NW, 0, 1, 0
6224AP, 0, 1, 0
6224AR, 0, 1, 0
6224AL, 0, 0, 0
6224AK, 2, 0, 1
6224AN, 0, 0, 0
6224AM, 0, 0, 0
6224AH, 0, 0, 0
6219NN, 0, 0, 0
6224AG, 2, 0, 0
6224AJ, 1, 0, 0
6219NP, 0, 0, 0
6219NK, 0, 0, 0
6224AD, 0, 0, 0
6224AC, 0, 0, 0
6219NM, 0, 0, 0
6219NL, 0, 0, 0
6224AE, 0, 0, 0
6219NG, 0, 0, 0
6219NB, 0, 0, 0
6219NE, 0, 0, 0
6219ND, 2, 0, 0
6215EZ, 1, 0, 0
6219NA, 0, 0, 0
6215EV, 0, 0, 0
6228HW, 0, 0, 0
6228HV, 0, 0, 0
6215EX, 3, 0, 0
6215EW, 0, 0, 0
6228HX, 0, 0, 0
6215ER, 2, 0, 0
6215ET, 1, 0, 0
6215ES, 1, 0, 0
6228HT, 0, 0, 0
6215EN, 2, 0, 0
6215EM, 1, 0, 0
6215EP, 1, 0, 0
6215EJ, 0, 0, 0
6228HK, 0, 0, 0
6228HJ, 0, 0, 0
6215EL, 0, 0, 0
6228HM, 0, 0, 0
6215EK, 0, 0, 0
6228HL, 0, 0, 0
6228HG, 0, 0, 0
6215EE, 0, 0, 0
6215EH, 0, 0, 0
6215EG, 0, 0, 0
6228HH, 0, 0, 0
6215EB, 0, 0, 0
6228HC, 0, 0, 0
6215EA, 0, 0, 0
6228HB, 0, 0, 0
6215ED, 0, 0, 0
6215EC, 0, 0, 0
6228HA, 0, 0, 0
6228GZ, 0, 0, 0
6228GV, 0, 0, 0
6228GX, 0, 0, 0
6228GW, 0, 0, 0
6228GR, 0, 0, 0
6228GT, 0, 0, 0
6228GS, 0, 0, 0
6228GN, 0, 0, 0
6228GM, 0, 0, 0
6228GP, 0, 0, 0
6228GJ, 0, 0, 0
6228GL, 0, 0, 0
6228GK, 0, 0, 0
6228GE, 0, 0, 0
6228GH, 0, 0, 0
6228GG, 0, 0, 0
6228GB, 0, 0, 0
6228GA, 0, 0, 0
6228GD, 0, 0, 0
6228GC, 0, 0, 0
6215BW, 0, 0, 0
6228EX, 0, 0, 0
6215BV, 3, 0, 0
6228EW, 0, 0, 0
6215BX, 2, 0, 0
6215BS, 3, 0, 0
6228ET, 1, 0, 0
6215BR, 6, 0, 0
6228ES, 0, 0, 0
6228EV, 0, 0, 0
6215BT, 0, 0, 0
6228EP, 0, 0, 0
6215BN, 6, 2, 0
6228ER, 0, 0, 0
6215BP, 5, 4, 0
6215BK, 6, 2, 0
6228EL, 2, 0, 0
6215BJ, 3, 2, 0
6228EK, 0, 0, 0
6215BM, 6, 2, 0
6228EN, 2, 0, 0
6215BL, 6, 2, 0
6228EM, 2, 0, 0
6215BG, 5, 3, 0
6228EH, 1, 0, 0
6228EG, 1, 0, 0
6228EJ, 1, 0, 0
6215BH, 3, 3, 0
6215BC, 6, 4, 0
6228ED, 0, 0, 0
6215BB, 7, 4, 0
6228EC, 0, 0, 0
6215BE, 5, 5, 0
6215BD, 5, 4, 0
6228EE, 0, 0, 0
6215BA, 6, 3, 0
6228EB, 0, 0, 0
6228EA, 1, 0, 0
6228DP, 2, 1, 0
6215AJ, 0, 0, 0
6228DK, 7, 1, 0
6228DJ, 7, 1, 0
6228DM, 4, 1, 0
6215AK, 0, 0, 0
6228DL, 7, 1, 0
6215AE, 0, 0, 0
6215AH, 0, 0, 0
6215AG, 0, 0, 0
6228DH, 7, 1, 0
6215AD, 0, 0, 0
6215AC, 0, 0, 0
